Content,sentiment
know listenin bad habit earlier started freakin part,neutral
layin n bed headache ughhhhwaitin call,sadness
funeral ceremonygloomy friday,sadness
wants hang friends soon,enthusiasm
want trade someone houston tickets one,neutral
repinging didnt go prom bc bf didnt like friends,worry
sleep im thinking old friend want hes married damn wants 2 scandalous,sadness
hmmm,worry
charlene love miss,sadness
im sorry least friday,sadness
cant fall asleep,neutral
choked retainers,worry
ugh beat stupid song get next rude,sadness
u watch hills london u realise tourture weeks weeks late watch itonlinelol,sadness
got news,surprise
storm electricity gone,sadness
agreed,love
sleepy even late fail,sadness
lady gaga tweeted impressed video leaking know,worry
convinced always wanted signals give offdamn think lost another friend,sadness
oh bad hope gets better ive sleep issues lately,worry
wondering im awake 7amwriting new songplotting evil secret plots muahahahaoh damn itnot secret anymore,fun
topic maps talks balisage markup conference 2009 program online via topicmaps,neutral
ate something dont know keep telling things food,worry
tired think im definitely going get ear infection going bed early,sadness
way home n 2 deal w underage girls drinking gin da bus talking bout keggersdamn feel old,worry
im sorry people rude isaac get manners know better lewd,sadness
damm servers still need hit 80 koxpers pass,worry
fudge bsd whole paper tired ugh hate school time sleep,sadness
hate cancer hate hate hate,worry
annoying starts typing computer middle night,hate
cant sleep,neutral
missed bly bus,neutral
feels strong contractions wants go,neutral
socal stoked maybe tomorrow,neutral
screw 3 weeks,neutral
yeah feel funny cause havent slept enough woke mum cause singing shes impressed,sadness
need skott right,worry
work afternoon,neutral
aw would unfollow would would cry,neutral
mmm much better day far still quite early last day uds,happiness
3 gonna first twitter cause amazing lol come canada would anything see perform,fun
picked blackberry middle street crushed,worry
feeling packing hitting sfo around time year think im missing something,worry
middle school elem high schools remain open need credits graduate cali broken,neutral
bed time hope go school tomorrow though dont feel well right,worry
ahh well hoping could learn stuff way work separate things also,worry
im problem photo twitter amfcant see face,sadness
oh noooo blow tire youre reaaaally going send batman smoke,neutral
wnna take bath,neutral
chocolate milk much better straw lack said straw,neutral
tired,worry
hey yu lil fucker textd yu,neutral
time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup 6hrs,neutral
way damn sucks b ok,neutral
sucks able take days work money take trip sad,worry
bedsorta today good sara strep thought angelina shared water b4 told prob get,enthusiasm
recession hotel restructuring accounts done adds bit pressure short term well cope,neutral
got dibs sulu,neutral
aww onward upwards yay still sad leave bet,sadness
haha poor aby still gets sore,worry
diesel yaris 70mpg sad available us thatd awesome,sadness
want buy great album unfortunately dont hav enuff funds long time noisy,sadness
honestypain blech,sadness
ok passengers one alive theyre dead dont know til end cry,sadness
home alone much,neutral
ia much havent really happy cooks choices singles,worry
fell asleep beach didnt put enough sunscreen lol,sadness
think son might flu cause def cleaned stanky puke mess poor pumkpin,worry
great see oin cynthia happy dinner great cute little place bad oin got sick afterwards,happiness
cant give bday nudges,neutral
woman transfer first impressions sexualmaternal onto less threatening man weak,worry
brothers bloom wont opening weekend el paso ill buy brick enjoy watch brothers bloom,neutral
says miss plurking,neutral
bitten blood cat way rabies bacterin seems 7 shots 2 months never wash cats home hate water,worry
miss voobys,neutral
neither elp,neutral
dude favorite sandwich place ever ummm take pictures,happiness
sad shin ae got marriedand wasnt alex,worry
sure tweet youre back news abuzz tr knights leaving confirmed today muy triste,worry
ohh thursday exams day wednesday,sadness
mix dentist appt afternoon rescheduled tomorrow 9am,neutral
thinking excited guys move realized sad see go,sadness
goooood mooorning people sun definitly spring first spring hail storm car dimples,worry
love itsakey usb sticks 4gb australia,sadness
fresh prince sleepy sleeps nightly routine gotta go dmv early tmrw,worry
dammit hulu desktop totally screwed ability talk particular port one dev servers cant watch code,hate
jealous mom talking want see twittering making miss,worry
cant sleepi keep thinking puppy played today,worry
im suppposed sleep got much got one part song stuck head jerk iknow blaahh,worry
whats going sweetheart,neutral
freaking difficult get systemwide spellchecker shit id settle office suite one stupid unhelpful windows,neutral
