Content,sentiment
know listenin bad habit earlier started freakin part,neutral
layin n bed headache ughhwaitin call,negative
funeral ceremonygloomy friday,negative
want hang friend soon,positive
want trade someone houston ticket no one,neutral
repinging didnt go prom bc bf didnt like friend,negative
sleep im not thinking old friend want he married damn want scandalous,negative
hmm,negative
charlene love miss,negative
im sorry least friday,negative
cant fall asleep,neutral
choked retainer,negative
ugh beat stupid song get next rude,negative
u watch hill london u realise tourture week week late watch itonlinelol,negative
got news,positive
storm electricity gone,negative
agreed,positive
sleepy not even late fail,negative
lady gaga tweeted not impressed video leaking know,negative
convinced always wanted signal give offdamn think lost another friend,negative
oh bad hope get better ive sleep issue lately,negative
wondering im awake amwriting new songplotting evil secret plot muahahahaoh damn itnot secret anymore,positive
no topic map talk balisage markup conference program online via topicmaps,neutral
ate something dont know keep telling thing food,negative
tired think im definitely going get ear infection going bed early,negative
way home n deal w underage girl drinking gin da bus talking bout keggersdamn feel old,negative
im sorry people rude isaac get manner know better lewd,negative
damm server still need hit koxpers pas,negative
fudge bsd whole paper tired ugh hate school time sleep,negative
hate cancer hate hate hate,negative
annoying start typing computer middle night,negative
cant sleep,neutral
missed bly bus,neutral
feel strong contraction want go,neutral
socal stoked maybe not tomorrow,neutral
screw week,neutral
yeah feel funny cause havent slept enough woke mum cause singing shes not impressed,negative
need skott right,negative
work afternoon,neutral
aw would not unfollow would would cry,neutral
mm much better day far still quite early last day uds,positive
gonna first twitter cause amazing lol come canada would anything see perform,positive
picked blackberry middle street crushed,negative
feeling packing hitting sfo around time year think im missing something,negative
middle school elem high school remain open need credit graduate cali broken,neutral
bed time hope go school tomorrow though dont feel well right,negative
ahh well hoping could learn stuff way not work separate thing also,negative
im problem photo twitter amfcant see face,negative
oh noo blow tire youre reaally going send batman smoke,neutral
wnna take bath,neutral
chocolate milk much better straw lack said straw,neutral
tired,negative
hey yu lil fucker textd yu,neutral
time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hr,neutral
no way damn suck b ok,neutral
suck not able take day work money take trip sad,negative
bedsorta today good sara strep thought angelina shared water b told prob get,positive
recession hotel restructuring account done add bit pressure short term well cope,neutral
got dibs sulu,neutral
aww onward upwards yay still sad leave bet,negative
haha poor aby still get sore,negative
diesel yaris mpg sad not available u thatd awesome,negative
want buy great album unfortunately dont hav enuff fund long time noisy,negative
honestypain blech,negative
ok passenger no one alive theyre dead dont know til end cry,negative
home alone not much,neutral
ia much havent really happy cook choice single,negative
fell asleep beach didnt put enough sunscreen lol,negative
think son might flu cause def cleaned stanky puke mess poor pumkpin,negative
great see oin cynthia happy dinner great cute little place bad oin got sick afterwards,positive
cant give bday nudge,neutral
woman transfer first impression sexualmaternal onto less threatening man weak,negative
brother bloom wont opening weekend el paso ill buy brick enjoy watch brother bloom,neutral
say miss plurking,neutral
bitten blood cat way rabies bacterin seems shot month never wash cat home hate water,negative
miss voobys,neutral
neither elp,neutral
dude favorite sandwich place ever umm take picture,positive
sad shin ae got marriedand wasnt alex,negative
sure tweet youre back news abuzz tr knight leaving confirmed today muy triste,negative
ohh thursday exam day wednesday,negative
mix dentist appt afternoon rescheduled tomorrow,neutral
thinking excited guy move realized sad see go,negative
good moorning people sun definitly spring first spring hail storm car dimple,negative
love itsakey usb stick gb australia,negative
fresh prince sleepy sleep nightly routine gotta go dmv early tmrw,negative
dammit hulu desktop totally screwed ability talk particular port one dev server cant watch code,negative
jealous mom talking want see twittering making miss,negative
cant sleepi keep thinking puppy played today,negative
im supposed sleep got much got one part song stuck head jerk iknow blaahh,negative
whats going sweetheart,neutral
freaking difficult get systemwide spellchecker shit id settle office suite one stupid unhelpful window,neutral
last one month due summer strawberry not availble chennai market,negative
work gotta go bed soon,neutral
correct adore plucked put arm cuz cryin better hahaha,positive
hii im ipodi cant fall asleep,negative
dont wanna work tomorrow get paid,negative
feel sad coz wasnt able play guy,negative
princecharming,neutral
cayogial wanted come bz summer not sure anymore teacher life summer suck,negative
first ever dropped call mobile call no less charged data even though data pack,negative
win sigh rakeem,negative
oh time real,neutral
darn allergy dont like time year never used problem either,negative
oh no one minute late oh well,negative
damn suck,negative
wanted come bz summer not sure anymore teacher life summer suck,negative
website gave virus opened window kept popping,negative
ahh big scary bug flying around room,negative
wish knew put throughshe stole heart never gave backand occasionally like like look,negative
nasty cough cant sick huge weekend ahead,negative
stone cold crazy,neutral
im tired,negative
shift time bbye biochem waahh,neutral
im sure cum play im workin til midnight,neutral
second wish rained,neutral
early happy day birth case dont make tired therapy today n taking medicine misshu love ya,negative
damn eric anyone else need hair played,neutral
im feel deflated ugh no dog,neutral
allergy suck duck nut,negative
well almost good day guess retry tomorrow,neutral
waraku tasteless expensive portion little waraku,negative
sound good appreciate suggestion week still offline time ask refund,positive
died wait magic jack read,negative
youstinkatrespondingtotexts,negative
wonder karma point turned,negative
need pack cali cali cannot waitt thinking glass wine order celebrate weekend vaca still work morrow tho,positive
miserable feel like im gona cry sux,negative
well ran beer left not sure eta waiting waiting waiting bleh gonna long nite methinks,neutral
nose stud fell cant find look like ill head amsterdam today get new one,negative
claire love show got office no radio,neutral
pat philly love mm cheesesteak miss boyfriend love vacation,positive
sigh im going bed dont feel right anymore,negative
focused tom much didnt see beloved barack oh no must vote poor president vote,neutral
epicentre wheelock place tourist,neutral
